distance_m,cv_model_m3,cv_empirical_m3
10073.2088," 245,687,872 ",354838807.4
10120.27987," 246,863,820 ",357015188.8
10167.35094," 248,034,139 ",359245528.3
10214.42201," 249,198,810 ",361536153.5
10261.49308," 250,357,815 ",363825959.6
10308.56414," 251,511,136 ",365896079.3
10355.63521," 252,658,757 ",367908221.9
10402.70628," 253,800,662 ",369882009.5
10449.77735," 254,936,835 ",371777526.4
10496.84842," 256,067,263 ",373633989.1
10543.91949," 257,191,933 ",375555862.3
10590.99056," 258,310,831 ",377437157.8
10638.06163," 259,423,947 ",379382611.9
10685.1327," 260,531,268 ",381390443
10732.20377," 261,632,786 ",383407114.3
10779.27484," 262,728,489 ",385342445.7
10826.34591," 263,818,370 ",387308213.1
10873.41697," 264,902,421 ",389212736.1
10920.48804," 265,980,635 ",390956998.6
10967.55911," 267,053,004 ",392776062.7
11014.63018," 268,119,523 ",394378148.1
11061.70125," 269,180,188 ",396035755.1
11108.77232," 270,234,993 ",397651632.2
11155.84339," 271,283,934 ",399298112.5
11202.91446," 272,327,010 ",400997064.1
11249.98553," 273,364,217 ",402658968.2
11297.0566," 274,395,554 ",404224587.1
11344.12767," 275,421,020 ",405757926.4
11391.19874," 276,440,613 ",407249237.1
11438.2698," 277,454,335 ",408634623.8
11485.34087," 278,462,186 ",409942946.7
11532.41194," 279,464,168 ",411236542.8
11579.48301," 280,460,281 ",412471810.6
11626.55408," 281,450,530 ",413772760
11673.62515," 282,434,917 ",415051035.2
11720.69622," 283,413,446 ",416312892.2
11767.76729," 284,386,121 ",417636910.2
11814.83836," 285,352,947 ",418902490.4
11861.90943," 286,313,929 ",420101249
11908.9805," 287,269,073 ",421353620.1
11956.05157," 288,218,386 ",422672558.4
12003.12263," 289,161,874 ",424019153.1
12050.1937," 290,099,545 ",425170920.7
12097.26477," 291,031,407 ",426298313.1
12144.33584," 291,957,468 ",427362310
12191.40691," 292,877,738 ",428385866.6
12238.47798," 293,792,225 ",429490519.5
12285.54905," 294,700,939 ",430538818.2
12332.62012," 295,603,891 ",431522418
12379.69119," 296,501,091 ",432438185.7
12426.76226," 297,392,550 ",433446014.7
12473.83333," 298,278,281 ",434488101.2
12520.9044," 299,158,294 ",435511431.8
12567.97546," 300,032,603 ",436467651.2
12615.04653," 300,901,220 ",437394654.1
12662.1176," 301,764,158 ",438370067
12709.18867," 302,621,432 ",439335214.5
12756.25974," 303,473,054 ",440213239.3
12803.33081," 304,319,040 ",441136043.4
12850.40188," 305,159,403 ",442008344.9
12897.47295," 305,994,159 ",442910900.4
12944.54402," 306,823,324 ",443827499.4
12991.61509," 307,646,913 ",444891031.9
13038.68616," 308,464,942 ",445879685.7
13085.75723," 309,277,428 ",446877686.9
13132.82829," 310,084,387 ",448030046.7
13179.89936," 310,885,836 ",449191968.4
13226.97043," 311,681,793 ",450207023.6
13274.0415," 312,472,275 ",451357245.7
13321.11257," 313,257,300 ",452599433.4
13368.18364," 314,036,887 ",453854898.2
13415.25471," 314,811,053 ",455179155.1
13462.32578," 315,579,818 ",456406752.7
